# k is in unit of [h/Mpc] and S_i/plin is in unit of [(Mpc/h)^3] 
# k 		 S1/p_lin	   S2/p_lin		S3/p_lin	 S4/p_lin		S5/p_lin	S6/p_lin	 S7/p_lin	   S8/p_lin		S9/p_lin	  S10/p_lin	   S11/p_lin	 S12/p_lin	  S13/p_lin		 S14/p_lin			
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.000000e-03 -5.126985e-06 2.042202e-01 1.361000e-01 5.505452e-06 -9.588760e-06 1.361466e-01 1.814663e-01 -1.507594e-05 -6.298213e-06 4.083766e-02 5.443154e-02 -1.436228e-05 -1.726632e-06 -4.114245e-06
7.704698e-03 -2.348305e-04 2.035193e-01 1.331292e-01 3.292217e-04 -4.777508e-04 1.356795e-01 1.775055e-01 -7.676168e-04 -3.314705e-04 4.036365e-02 5.286523e-02 -7.693004e-04 -9.028674e-05 -2.161529e-04
1.440940e-02 -5.555726e-04 2.020170e-01 1.267676e-01 1.137015e-03 -1.307890e-03 1.346777e-01 1.690234e-01 -2.170539e-03 -9.829558e-04 3.934860e-02 4.971242e-02 -2.329301e-03 -2.680588e-04 -6.447576e-04
2.111409e-02 -6.172017e-04 1.999867e-01 1.183199e-01 2.446335e-03 -2.046606e-03 1.333242e-01 1.577596e-01 -3.600761e-03 -1.732631e-03 3.799662e-02 4.577601e-02 -4.237294e-03 -4.811801e-04 -1.167678e-03
2.781879e-02 -2.351986e-05 1.977012e-01 1.086904e-01 4.385488e-03 -2.226506e-03 1.318010e-01 1.449204e-01 -4.431989e-03 -2.326180e-03 3.645893e-02 4.153056e-02 -6.019899e-03 -6.730120e-04 -1.668346e-03
3.452349e-02 1.576732e-03 1.953622e-01 9.848834e-02 7.096526e-03 -1.449681e-03 1.302410e-01 1.313173e-01 -4.159477e-03 -2.545473e-03 3.483845e-02 3.724841e-02 -7.291564e-03 -7.972475e-04 -2.056287e-03
4.122819e-02 4.295527e-03 1.930012e-01 8.816605e-02 1.057553e-02 4.350669e-04 1.286686e-01 1.175556e-01 -2.564488e-03 -2.277999e-03 3.320041e-02 3.310286e-02 -7.836786e-03 -8.280063e-04 -2.280301e-03
4.793289e-02 7.690235e-03 1.903508e-01 7.809942e-02 1.442257e-02 3.044345e-03 1.269005e-01 1.041322e-01 -6.635123e-05 -1.659976e-03 3.156340e-02 2.920796e-02 -7.799150e-03 -7.851823e-04 -2.364735e-03
5.463758e-02 1.123321e-02 1.871791e-01 6.853629e-02 1.820056e-02 5.874317e-03 1.247858e-01 9.138028e-02 2.759480e-03 -9.027230e-04 2.993575e-02 2.562912e-02 -7.463179e-03 -7.083943e-04 -2.371908e-03
6.134228e-02 1.481875e-02 1.835641e-01 5.960035e-02 2.184031e-02 8.845468e-03 1.223762e-01 7.946663e-02 5.829727e-03 -3.966816e-05 2.834294e-02 2.239040e-02 -6.861643e-03 -6.042849e-04 -2.310652e-03
6.804698e-02 1.889876e-02 1.798541e-01 5.130527e-02 2.567620e-02 1.237747e-02 1.199040e-01 6.840930e-02 9.626549e-03 1.117457e-03 2.682439e-02 1.947977e-02 -5.726656e-03 -4.396148e-04 -2.126650e-03
7.475168e-02 2.439164e-02 1.766311e-01 4.363256e-02 3.037451e-02 1.733641e-02 1.177569e-01 5.818182e-02 1.515358e-02 2.963197e-03 2.544396e-02 1.688003e-02 -3.491495e-03 -1.413153e-04 -1.700661e-03
8.145638e-02 3.195506e-02 1.742080e-01 3.659059e-02 3.645634e-02 2.437326e-02 1.161393e-01 4.878738e-02 2.318097e-02 5.818370e-03 2.423598e-02 1.457776e-02 3.053135e-04 3.538669e-04 -9.305685e-04
8.816107e-02 4.171644e-02 1.726467e-01 3.020529e-02 4.397907e-02 3.363050e-02 1.150988e-01 4.027446e-02 3.389074e-02 9.774990e-03 2.321055e-02 1.255950e-02 5.815536e-03 1.067861e-03 2.213242e-04
9.486577e-02 5.277879e-02 1.713651e-01 2.457327e-02 5.227163e-02 4.424097e-02 1.142416e-01 3.276081e-02 4.627289e-02 1.446538e-02 2.231652e-02 1.082182e-02 1.250474e-02 1.936028e-03 1.644982e-03
1.015705e-01 6.275996e-02 1.690987e-01 1.979251e-02 5.954667e-02 5.391330e-02 1.127327e-01 2.638003e-02 5.762673e-02 1.885090e-02 2.142856e-02 9.349807e-03 1.886427e-02 2.762994e-03 3.014922e-03
1.082752e-01 6.996761e-02 1.649717e-01 1.585772e-02 6.455173e-02 6.096001e-02 1.099832e-01 2.114972e-02 6.595739e-02 2.214818e-02 2.044593e-02 8.111006e-03 2.374925e-02 3.402075e-03 4.086975e-03
1.149799e-01 7.387433e-02 1.590689e-01 1.265804e-02 6.704653e-02 6.498623e-02 1.060434e-01 1.688050e-02 7.088535e-02 2.415724e-02 1.936090e-02 7.057837e-03 2.689558e-02 3.810503e-03 4.798723e-03
1.216846e-01 7.591364e-02 1.522220e-01 1.002551e-02 6.802114e-02 6.721733e-02 1.014815e-01 1.337016e-02 7.367143e-02 2.536636e-02 1.825088e-02 6.163780e-03 2.891717e-02 4.069200e-03 5.269840e-03
1.283893e-01 7.801441e-02 1.456188e-01 7.818273e-03 6.899987e-02 6.948901e-02 9.708133e-02 1.042190e-02 7.660437e-02 2.662515e-02 1.722379e-02 5.406635e-03 3.108382e-02 4.337325e-03 5.771413e-03
1.350940e-01 8.199555e-02 1.402140e-01 5.955814e-03 7.134021e-02 7.369203e-02 9.348542e-02 7.949695e-03 8.174144e-02 2.879735e-02 1.637586e-02 4.787019e-03 3.457253e-02 4.782178e-03 6.564389e-03
1.417987e-01 8.829429e-02 1.362075e-01 4.447270e-03 7.532440e-02 8.010269e-02 9.079730e-02 5.935549e-03 8.955848e-02 3.205953e-02 1.572759e-02 4.300012e-03 3.970931e-02 5.442551e-03 7.724092e-03
1.485034e-01 9.607672e-02 1.331925e-01 3.291378e-03 8.035545e-02 8.794036e-02 8.879360e-02 4.392992e-03 9.903890e-02 3.597231e-02 1.523898e-02 3.933555e-03 4.580150e-02 6.225336e-03 9.085023e-03
1.552081e-01 1.042606e-01 1.303088e-01 2.490996e-03 8.540254e-02 9.596970e-02 8.686523e-02 3.316228e-03 1.086745e-01 4.001681e-02 1.481028e-02 3.671193e-03 5.209871e-02 7.043044e-03 1.050303e-02
1.619128e-01 1.095750e-01 1.264847e-01 2.013132e-03 8.868056e-02 1.016805e-01 8.432333e-02 2.684018e-03 1.157121e-01 4.308774e-02 1.432311e-02 3.468321e-03 5.697254e-02 7.681522e-03 1.161878e-02
1.686174e-01 1.112946e-01 1.209571e-01 1.780883e-03 8.924993e-02 1.038032e-01 8.063960e-02 2.371127e-03 1.185693e-01 4.451154e-02 1.367745e-02 3.290856e-03 5.949374e-02 8.013523e-03 1.223353e-02
1.753221e-01 1.093710e-01 1.138749e-01 1.704135e-03 8.705532e-02 1.023066e-01 7.591557e-02 2.274674e-03 1.171285e-01 4.423858e-02 1.287929e-02 3.115878e-03 5.954548e-02 8.021176e-03 1.231292e-02
1.820268e-01 1.052695e-01 1.060892e-01 1.707805e-03 8.333529e-02 9.869803e-02 7.072722e-02 2.279470e-03 1.132043e-01 4.297337e-02 1.201714e-02 2.942710e-03 5.812301e-02 7.836179e-03 1.207069e-02
1.887315e-01 1.009849e-01 9.861762e-02 1.775667e-03 7.961192e-02 9.501531e-02 6.575386e-02 2.375047e-03 1.091756e-01 4.164298e-02 1.119708e-02 2.794671e-03 5.658020e-02 7.632234e-03 1.179399e-02
1.954362e-01 9.790145e-02 9.207903e-02 1.884659e-03 7.664011e-02 9.227182e-02 6.138950e-02 2.521040e-03 1.061972e-01 4.072160e-02 1.048419e-02 2.679347e-03 5.564435e-02 7.509673e-03 1.165899e-02
2.021409e-01 9.627203e-02 8.666027e-02 2.075520e-03 7.480097e-02 9.097985e-02 5.777200e-02 2.767450e-03 1.049291e-01 4.046795e-02 9.904066e-03 2.606046e-03 5.565006e-02 7.510403e-03 1.171931e-02
2.088456e-01 9.555215e-02 8.211588e-02 2.326220e-03 7.367013e-02 9.053790e-02 5.474715e-02 3.103990e-03 1.046454e-01 4.059636e-02 9.435550e-03 2.572407e-03 5.616857e-02 7.579712e-03 1.188467e-02
2.155503e-01 9.498088e-02 7.795405e-02 2.619859e-03 7.276125e-02 9.032179e-02 5.197071e-02 3.486754e-03 1.046957e-01 4.085911e-02 9.011036e-03 2.554748e-03 5.688841e-02 7.678860e-03 1.209829e-02
2.222550e-01 9.340325e-02 7.363728e-02 2.911367e-03 7.105527e-02 8.899698e-02 4.909404e-02 3.877903e-03 1.032542e-01 4.051325e-02 8.569868e-03 2.532231e-03 5.665310e-02 7.652347e-03 1.209753e-02
2.289597e-01 9.022581e-02 6.881193e-02 3.160237e-03 6.830224e-02 8.617216e-02 4.588455e-02 4.210461e-03 1.001717e-01 3.950052e-02 8.068545e-03 2.485282e-03 5.545310e-02 7.501757e-03 1.189034e-02
2.356644e-01 8.550711e-02 6.353577e-02 3.333112e-03 6.433601e-02 8.172801e-02 4.234493e-02 4.447205e-03 9.504731e-02 3.765732e-02 7.502473e-03 2.405560e-03 5.301677e-02 7.184437e-03 1.140739e-02
2.423691e-01 7.973830e-02 5.803705e-02 3.433108e-03 5.986082e-02 7.633333e-02 3.868756e-02 4.574582e-03 8.894683e-02 3.535431e-02 6.905227e-03 2.301229e-03 4.990484e-02 6.773473e-03 1.076826e-02
2.490738e-01 7.367691e-02 5.268624e-02 3.476346e-03 5.515179e-02 7.065417e-02 3.512759e-02 4.628785e-03 8.237173e-02 3.287180e-02 6.317307e-03 2.186168e-03 4.646708e-02 6.320601e-03 1.005309e-02
2.557785e-01 6.811813e-02 4.784778e-02 3.490970e-03 5.085773e-02 6.545950e-02 3.190357e-02 4.656455e-03 7.640650e-02 3.060017e-02 5.782992e-03 2.077361e-03 4.334099e-02 5.906005e-03 9.401137e-03
2.624832e-01 6.328228e-02 4.359678e-02 3.502630e-03 4.707914e-02 6.087561e-02 2.906783e-02 4.666455e-03 7.111005e-02 2.858725e-02 5.311853e-03 1.978635e-03 4.056593e-02 5.538062e-03 8.823122e-03
2.691879e-01 5.918133e-02 3.989107e-02 3.512584e-03 4.384178e-02 5.696698e-02 2.659176e-02 4.682864e-03 6.659682e-02 2.688195e-02 4.900773e-03 1.894117e-03 3.822528e-02 5.228792e-03 8.341013e-03
2.758926e-01 5.538851e-02 3.657329e-02 3.513304e-03 4.088924e-02 5.339817e-02 2.438070e-02 4.680736e-03 6.246683e-02 2.530219e-02 4.531102e-03 1.814976e-03 3.604438e-02 4.938317e-03 7.883432e-03
2.825973e-01 5.169615e-02 3.347918e-02 3.489733e-03 3.803650e-02 4.989123e-02 2.231870e-02 4.649020e-03 5.842082e-02 2.375357e-02 4.183461e-03 1.735401e-03 3.388714e-02 4.651749e-03 7.431016e-03
2.893020e-01 4.786951e-02 3.047863e-02 3.419763e-03 3.513576e-02 4.626562e-02 2.031975e-02 4.561508e-03 5.423349e-02 2.212604e-02 3.842634e-03 1.645885e-03 3.162396e-02 4.349871e-03 6.954204e-03
2.960067e-01 4.388312e-02 2.752965e-02 3.313815e-03 3.210395e-02 4.245083e-02 1.835145e-02 4.416987e-03 4.978496e-02 2.038684e-02 3.500295e-03 1.546356e-03 2.917531e-02 4.022432e-03 6.433911e-03
3.027114e-01 3.981825e-02 2.466599e-02 3.162923e-03 2.906614e-02 3.855674e-02 1.644154e-02 4.222566e-03 4.525711e-02 1.859264e-02 3.162872e-03 1.440382e-03 2.663787e-02 3.681332e-03 5.889162e-03
3.094161e-01 3.578209e-02 2.195876e-02 2.995195e-03 2.609731e-02 3.468497e-02 1.464230e-02 3.991141e-03 4.074610e-02 1.678946e-02 2.840178e-03 1.329779e-03 2.405479e-02 3.332342e-03 5.325869e-03
3.161208e-01 3.211354e-02 1.950306e-02 2.813872e-03 2.335164e-02 3.114381e-02 1.300350e-02 3.750662e-03 3.659739e-02 1.512425e-02 2.542316e-03 1.223205e-03 2.169901e-02 3.011778e-03 4.816583e-03
3.228255e-01 2.877914e-02 1.730636e-02 2.635752e-03 2.087422e-02 2.792956e-02 1.153578e-02 3.512502e-03 3.281694e-02 1.361179e-02 2.273964e-03 1.123868e-03 1.952939e-02 2.718150e-03 4.344136e-03
3.295302e-01 2.578865e-02 1.537139e-02 2.458822e-03 1.867803e-02 2.505354e-02 1.024772e-02 3.280267e-03 2.946647e-02 1.225190e-02 2.035803e-03 1.031891e-03 1.759815e-02 2.454405e-03 3.923867e-03
3.362349e-01 2.316352e-02 1.366275e-02 2.294917e-03 1.672947e-02 2.250086e-02 9.107166e-03 3.057729e-03 2.647715e-02 1.104418e-02 1.823631e-03 9.465554e-04 1.587135e-02 2.219166e-03 3.546625e-03
3.429396e-01 2.073301e-02 1.212832e-02 2.131409e-03 1.496177e-02 2.017075e-02 8.086006e-03 2.843002e-03 2.375402e-02 9.936123e-03 1.631971e-03 8.676929e-04 1.429080e-02 2.002341e-03 3.200679e-03
3.496443e-01 1.852904e-02 1.074383e-02 1.973334e-03 1.334403e-02 1.803573e-02 7.162362e-03 2.631026e-03 2.125406e-02 8.916946e-03 1.456978e-03 7.923643e-04 1.283280e-02 1.802585e-03 2.880585e-03
3.563490e-01 1.645889e-02 9.474335e-03 1.811532e-03 1.182503e-02 1.602455e-02 6.316860e-03 2.415976e-03 1.888472e-02 7.945993e-03 1.294392e-03 7.192788e-04 1.143793e-02 1.610460e-03 2.572629e-03
3.630537e-01 1.452855e-02 8.314926e-03 1.652093e-03 1.042509e-02 1.415671e-02 5.541823e-03 2.203955e-03 1.668819e-02 7.040888e-03 1.143839e-03 6.487592e-04 1.013776e-02 1.430534e-03 2.284319e-03
3.697584e-01 1.275814e-02 7.259534e-03 1.497443e-03 9.142987e-03 1.244327e-02 4.840284e-03 1.997168e-03 1.468058e-02 6.211206e-03 1.006465e-03 5.824577e-04 8.949302e-03 1.266143e-03 2.021655e-03
3.764631e-01 1.115851e-02 6.315721e-03 1.349811e-03 7.980246e-03 1.088262e-02 4.209763e-03 1.799742e-03 1.284082e-02 5.447800e-03 8.815746e-04 5.201210e-04 7.848657e-03 1.113159e-03 1.776015e-03
3.831678e-01 9.725055e-03 5.478616e-03 1.210114e-03 6.949973e-03 9.494644e-03 3.652818e-03 1.613827e-03 1.120718e-02 4.767381e-03 7.702713e-04 4.628900e-04 6.869349e-03 9.766446e-04 1.557521e-03
3.898725e-01 8.471856e-03 4.748963e-03 1.083501e-03 6.043217e-03 8.271249e-03 3.165730e-03 1.444674e-03 9.767416e-03 4.165972e-03 6.721106e-04 4.112477e-04 6.003974e-03 8.557201e-04 1.364055e-03
3.965772e-01 7.360524e-03 4.111037e-03 9.669298e-04 5.246527e-03 7.191704e-03 2.740392e-03 1.288781e-03 8.497143e-03 3.632681e-03 5.855727e-04 3.644470e-04 5.237258e-03 7.480216e-04 1.192136e-03
4.032819e-01 6.392901e-03 3.555210e-03 8.606426e-04 4.548660e-03 6.247502e-03 2.370172e-03 1.147186e-03 7.381462e-03 3.164307e-03 5.097506e-04 3.225115e-04 4.561365e-03 6.531168e-04 1.040204e-03
4.099866e-01 5.537646e-03 3.069480e-03 7.636608e-04 3.936929e-03 5.417091e-03 2.046370e-03 1.018538e-03 6.402506e-03 2.751706e-03 4.429413e-04 2.848005e-04 3.967424e-03 5.694401e-04 9.066414e-04
4.166913e-01 4.785861e-03 2.643083e-03 6.752124e-04 3.397242e-03 4.682102e-03 1.762033e-03 9.004186e-04 5.535771e-03 2.384815e-03 3.837243e-04 2.505104e-04 3.438851e-03 4.946791e-04 7.872711e-04
4.233960e-01 4.119369e-03 2.268378e-03 5.944132e-04 2.921337e-03 4.032457e-03 1.512284e-03 7.926353e-04 4.768829e-03 2.059486e-03 3.313026e-04 2.195435e-04 2.969499e-03 4.281601e-04 6.810131e-04
4.301007e-01 3.534595e-03 1.939707e-03 5.211296e-04 2.502705e-03 3.460427e-03 1.293109e-03 6.946317e-04 4.093677e-03 1.772213e-03 2.849972e-04 1.916296e-04 2.555509e-03 3.693114e-04 5.871619e-04
4.368054e-01 3.019578e-03 1.653641e-03 4.547972e-04 2.137038e-03 2.958542e-03 1.102454e-03 6.063455e-04 3.501040e-03 1.519107e-03 2.443708e-04 1.666166e-04 2.190367e-03 3.172521e-04 5.040874e-04
4.435101e-01 2.573117e-03 1.405785e-03 3.954660e-04 1.818263e-03 2.521037e-03 9.371370e-04 5.271585e-04 2.983927e-03 1.297836e-03 2.089046e-04 1.444037e-04 1.871341e-03 2.716686e-04 4.314749e-04
4.502148e-01 2.185711e-03 1.191939e-03 3.424683e-04 1.543398e-03 2.143006e-03 7.946477e-04 4.566361e-04 2.537134e-03 1.106024e-03 1.781097e-04 1.247048e-04 1.594596e-03 2.320094e-04 3.682728e-04
4.569195e-01 1.854687e-03 1.009066e-03 2.960892e-04 1.307837e-03 1.818173e-03 6.726396e-04 3.947089e-04 2.152997e-03 9.405878e-04 1.515812e-04 1.075208e-04 1.356201e-03 1.977497e-04 3.137881e-04
4.636242e-01 1.569570e-03 8.526295e-04 2.551580e-04 1.106042e-03 1.539654e-03 5.683804e-04 3.401840e-04 1.823693e-03 7.984424e-04 1.287428e-04 9.242545e-05 1.151144e-03 1.682019e-04 2.667554e-04
4.703289e-01 1.326236e-03 7.192459e-04 2.193762e-04 9.336837e-04 1.301457e-03 4.794939e-04 2.924875e-04 1.541847e-03 6.764955e-04 1.091621e-04 7.929944e-05 9.752528e-04 1.427983e-04 2.263676e-04
4.770336e-01 1.118005e-03 6.053143e-04 1.880393e-04 7.866238e-04 1.097764e-03 4.036378e-04 2.507531e-04 1.301159e-03 5.720826e-04 9.235636e-05 6.787298e-05 8.248410e-04 1.210256e-04 1.917967e-04
4.837383e-01 9.401284e-04 5.083121e-04 1.607391e-04 6.607767e-04 9.232883e-04 3.388811e-04 2.143294e-04 1.094430e-03 4.822185e-04 7.791472e-05 5.790558e-05 6.951144e-04 1.022035e-04 1.618723e-04
4.904430e-01 7.883159e-04 4.256582e-04 1.369350e-04 5.535682e-04 7.743215e-04 2.837713e-04 1.825494e-04 9.180463e-04 4.052907e-04 6.555401e-05 4.924547e-05 5.841775e-04 8.605938e-05 1.362419e-04
4.971477e-01 6.594561e-04 3.555120e-04 1.162753e-04 4.625423e-04 6.478695e-04 2.369963e-04 1.549950e-04 7.681175e-04 3.398266e-04 5.499862e-05 4.175529e-05 4.897140e-04 7.229266e-05 1.143908e-04
5.038523e-01 5.498799e-04 2.961516e-04 9.840898e-05 3.854603e-04 5.404271e-04 1.974256e-04 1.311914e-04 6.409348e-04 2.840963e-04 4.602275e-05 3.530700e-05 4.093726e-04 6.054871e-05 9.576560e-05
5.105570e-01 4.573905e-04 2.460241e-04 8.303154e-05 3.203922e-04 4.497221e-04 1.640398e-04 1.107030e-04 5.335029e-04 2.369371e-04 3.841097e-05 2.976425e-05 3.414307e-04 5.059790e-05 8.000198e-05
5.172617e-01 3.796470e-04 2.040036e-04 6.986589e-05 2.657052e-04 3.733567e-04 1.360056e-04 9.315119e-05 4.429974e-04 1.971099e-04 3.198281e-05 2.502524e-05 2.840112e-04 4.216682e-05 6.664476e-05
5.239664e-01 3.144359e-04 1.687922e-04 5.865017e-05 2.199049e-04 3.093175e-04 1.125246e-04 7.819135e-05 3.670769e-04 1.636341e-04 2.657255e-05 2.099122e-05 2.357542e-04 3.506730e-05 5.540313e-05
5.306711e-01 2.598262e-04 1.393450e-04 4.908828e-05 1.816120e-04 2.557173e-04 9.291163e-05 6.545493e-05 3.035484e-04 1.355557e-04 2.203123e-05 1.756298e-05 1.952907e-04 2.910051e-05 4.595934e-05
5.373758e-01 2.143273e-04 1.148324e-04 4.099327e-05 1.496616e-04 2.109361e-04 7.655352e-05 5.465509e-05 2.504142e-04 1.120238e-04 1.822428e-05 1.465821e-05 1.613680e-04 2.408713e-05 3.802691e-05
5.440805e-01 1.763493e-04 9.440464e-05 3.414013e-05 1.230555e-04 1.736127e-04 6.293713e-05 4.551916e-05 2.061511e-04 9.238634e-05 1.504196e-05 1.220443e-05 1.330729e-04 1.989890e-05 3.140411e-05
5.507852e-01 1.447772e-04 7.743915e-05 2.835904e-05 1.009495e-04 1.425610e-04 5.162501e-05 3.780930e-05 1.692981e-04 7.600044e-05 1.238516e-05 1.013401e-05 1.094554e-04 1.639479e-05 2.586446e-05
5.574899e-01 1.185854e-04 6.337406e-05 2.349193e-05 8.263325e-05 1.167979e-04 4.224898e-05 3.132056e-05 1.387264e-04 6.237924e-05 1.017369e-05 8.393729e-06 8.982856e-05 1.347736e-05 2.125427e-05
5.641946e-01 9.688649e-05 5.173820e-05 1.940462e-05 6.746264e-05 9.544765e-05 3.449090e-05 2.587015e-05 1.133809e-04 5.106769e-05 8.335276e-06 6.932542e-06 7.353230e-05 1.105063e-05 1.742164e-05
5.708993e-01 7.896579e-05 4.213560e-05 1.598400e-05 5.495282e-05 7.781534e-05 2.809203e-05 2.131204e-05 9.245631e-05 4.170911e-05 6.813359e-06 5.711482e-06 6.005350e-05 9.039222e-06 1.424649e-05
5.776040e-01 6.421187e-05 3.423907e-05 1.313157e-05 4.465613e-05 6.329059e-05 2.282642e-05 1.750869e-05 7.521237e-05 3.398284e-05 5.555509e-06 4.692695e-06 4.892487e-05 7.375545e-06 1.162072e-05
5.843087e-01 5.210166e-05 2.776069e-05 1.076294e-05 3.621009e-05 5.136419e-05 1.850707e-05 1.434934e-05 6.104685e-05 2.762543e-05 4.519452e-06 3.846369e-06 3.976784e-05 6.004421e-06 9.457606e-06
5.910134e-01 4.218114e-05 2.245908e-05 8.797712e-06 2.929552e-05 4.159110e-05 1.497161e-05 1.173020e-05 4.944005e-05 2.240694e-05 3.668381e-06 3.144969e-06 3.225358e-05 4.877168e-06 7.679924e-06
5.977181e-01 3.407570e-05 1.813045e-05 7.174747e-06 2.365264e-05 3.360704e-05 1.208661e-05 9.565892e-06 3.995438e-05 1.813455e-05 2.971079e-06 2.565356e-06 2.610081e-05 3.952571e-06 6.222168e-06
