# k          P_lin(k)     P_0(k)       P_2(k)       P_4(k)       
# [h/Mpc]    [(Mpc/h)^3]  [(Mpc/h)^3]  [(Mpc/h)^3]  [(Mpc/h)^3]
#----------------------------------------------------------------
1.000000e-03 2.099612e+03 3.419951e+03 2.852341e+03 2.822188e+02
7.704698e-03 1.070610e+04 1.743862e+04 1.454433e+04 1.439058e+03
1.440940e-02 1.335602e+04 2.175493e+04 1.814426e+04 1.795245e+03
2.111409e-02 1.300734e+04 2.118698e+04 1.767057e+04 1.748378e+03
2.781879e-02 1.138120e+04 1.853825e+04 1.546145e+04 1.529801e+03
3.452349e-02 9.552146e+03 1.555900e+04 1.297667e+04 1.283949e+03
4.122819e-02 8.023343e+03 1.306881e+04 1.089978e+04 1.078456e+03
4.793289e-02 6.978723e+03 1.136728e+04 9.480653e+03 9.380432e+02
5.463758e-02 6.304733e+03 1.026946e+04 8.565032e+03 8.474490e+02
6.134228e-02 5.823776e+03 9.486049e+03 7.911648e+03 7.828013e+02
6.804698e-02 5.382689e+03 8.767586e+03 7.312428e+03 7.235128e+02
7.475168e-02 4.880680e+03 7.949889e+03 6.630445e+03 6.560354e+02
8.145638e-02 4.323772e+03 7.042770e+03 5.873880e+03 5.811786e+02
8.816107e-02 3.762401e+03 6.128381e+03 5.111253e+03 5.057221e+02
9.486577e-02 3.269767e+03 5.325956e+03 4.442006e+03 4.395049e+02
1.015705e-01 2.900125e+03 4.723864e+03 3.939843e+03 3.898195e+02
1.082752e-01 2.650364e+03 4.317042e+03 3.600542e+03 3.562480e+02
1.149799e-01 2.485485e+03 4.048479e+03 3.376552e+03 3.340858e+02
1.216846e-01 2.363008e+03 3.848983e+03 3.210166e+03 3.176231e+02
1.283893e-01 2.240453e+03 3.649360e+03 3.043675e+03 3.011500e+02
1.350940e-01 2.091179e+03 3.406214e+03 2.840884e+03 2.810852e+02
1.417987e-01 1.916870e+03 3.122290e+03 2.604083e+03 2.576555e+02
1.485034e-01 1.735418e+03 2.826734e+03 2.357580e+03 2.332658e+02
1.552081e-01 1.568008e+03 2.554048e+03 2.130152e+03 2.107634e+02
1.619128e-01 1.431669e+03 2.331972e+03 1.944935e+03 1.924374e+02
1.686174e-01 1.332092e+03 2.169777e+03 1.809659e+03 1.790528e+02
1.753221e-01 1.263029e+03 2.057282e+03 1.715835e+03 1.697696e+02
1.820268e-01 1.210867e+03 1.972319e+03 1.644972e+03 1.627583e+02
1.887315e-01 1.161449e+03 1.891824e+03 1.577838e+03 1.561158e+02
1.954362e-01 1.105397e+03 1.800525e+03 1.501692e+03 1.485817e+02
2.021409e-01 1.040279e+03 1.694457e+03 1.413228e+03 1.398288e+02
2.088456e-01 9.693918e+02 1.578993e+03 1.316927e+03 1.303005e+02
2.155503e-01 8.997631e+02 1.465578e+03 1.222336e+03 1.209414e+02
2.222550e-01 8.381878e+02 1.365281e+03 1.138685e+03 1.126648e+02
2.289597e-01 7.880680e+02 1.283644e+03 1.070597e+03 1.059280e+02
2.356644e-01 7.491100e+02 1.220187e+03 1.017672e+03 1.006914e+02
2.423691e-01 7.185652e+02 1.170434e+03 9.761768e+02 9.658575e+01
2.490738e-01 6.918152e+02 1.126862e+03 9.398366e+02 9.299015e+01
2.557785e-01 6.646970e+02 1.082691e+03 9.029964e+02 8.934507e+01
2.624832e-01 6.353000e+02 1.034808e+03 8.630604e+02 8.539368e+01
2.691879e-01 6.036635e+02 9.832764e+02 8.200818e+02 8.114127e+01
2.758926e-01 5.714055e+02 9.307331e+02 7.762592e+02 7.680532e+01
2.825973e-01 5.407210e+02 8.807527e+02 7.345740e+02 7.268087e+01
2.893020e-01 5.134113e+02 8.362692e+02 6.974735e+02 6.901004e+01
2.960067e-01 4.901413e+02 7.983660e+02 6.658610e+02 6.588221e+01
3.027114e-01 4.705370e+02 7.664336e+02 6.392284e+02 6.324711e+01
3.094161e-01 4.533860e+02 7.384971e+02 6.159286e+02 6.094176e+01
3.161208e-01 4.373949e+02 7.124501e+02 5.942046e+02 5.879232e+01
3.228255e-01 4.213962e+02 6.863906e+02 5.724702e+02 5.664186e+01
3.295302e-01 4.048671e+02 6.594673e+02 5.500154e+02 5.442011e+01
3.362349e-01 3.880668e+02 6.321020e+02 5.271919e+02 5.216189e+01
3.429396e-01 3.715814e+02 6.052498e+02 5.047964e+02 4.994601e+01
3.496443e-01 3.560013e+02 5.798722e+02 4.836307e+02 4.785182e+01
3.563490e-01 3.417661e+02 5.566853e+02 4.642921e+02 4.593840e+01
3.630537e-01 3.290664e+02 5.359994e+02 4.470395e+02 4.423137e+01
3.697584e-01 3.176370e+02 5.173826e+02 4.315125e+02 4.269509e+01
3.764631e-01 3.071069e+02 5.002307e+02 4.172073e+02 4.127970e+01
3.831678e-01 2.970704e+02 4.838828e+02 4.035726e+02 3.993064e+01
3.898725e-01 2.871681e+02 4.677533e+02 3.901202e+02 3.859962e+01
3.965772e-01 2.773363e+02 4.517389e+02 3.767637e+02 3.727809e+01
4.032819e-01 2.676127e+02 4.359005e+02 3.635540e+02 3.597109e+01
4.099866e-01 2.582034e+02 4.205742e+02 3.507714e+02 3.470634e+01
4.166913e-01 2.492810e+02 4.060410e+02 3.386503e+02 3.350704e+01
4.233960e-01 2.409612e+02 3.924894e+02 3.273478e+02 3.238874e+01
4.301007e-01 2.332368e+02 3.799075e+02 3.168542e+02 3.135047e+01
4.368054e-01 2.260406e+02 3.681860e+02 3.070781e+02 3.038319e+01
4.435101e-01 2.192360e+02 3.571022e+02 2.978339e+02 2.946854e+01
4.502148e-01 2.126932e+02 3.464451e+02 2.889455e+02 2.858911e+01
4.569195e-01 2.063232e+02 3.360693e+02 2.802919e+02 2.773289e+01
4.636242e-01 2.001015e+02 3.259350e+02 2.718395e+02 2.689659e+01
4.703289e-01 1.940305e+02 3.160464e+02 2.635921e+02 2.608056e+01
4.770336e-01 1.881892e+02 3.065316e+02 2.556565e+02 2.529540e+01
4.837383e-01 1.826064e+02 2.974383e+02 2.480724e+02 2.454500e+01
4.904430e-01 1.773046e+02 2.888024e+02 2.408698e+02 2.383235e+01
4.971477e-01 1.722847e+02 2.806257e+02 2.340502e+02 2.315760e+01
5.038523e-01 1.675069e+02 2.728433e+02 2.275595e+02 2.251539e+01
5.105570e-01 1.629371e+02 2.653999e+02 2.213514e+02 2.190115e+01
5.172617e-01 1.585279e+02 2.582179e+02 2.153615e+02 2.130848e+01
5.239664e-01 1.542561e+02 2.512598e+02 2.095582e+02 2.073429e+01
5.306711e-01 1.501044e+02 2.444973e+02 2.039180e+02 2.017624e+01
5.373758e-01 1.460874e+02 2.379542e+02 1.984609e+02 1.963630e+01
5.440805e-01 1.422102e+02 2.316388e+02 1.931937e+02 1.911514e+01
5.507852e-01 1.384770e+02 2.255581e+02 1.881222e+02 1.861335e+01
5.574899e-01 1.348963e+02 2.197256e+02 1.832577e+02 1.813204e+01
5.641946e-01 1.314670e+02 2.141398e+02 1.785990e+02 1.767110e+01
5.708993e-01 1.281682e+02 2.087665e+02 1.741175e+02 1.722769e+01
5.776040e-01 1.249924e+02 2.035937e+02 1.698032e+02 1.680082e+01
5.843087e-01 1.219216e+02 1.985918e+02 1.656314e+02 1.638805e+01
5.910134e-01 1.189492e+02 1.937503e+02 1.615935e+02 1.598853e+01
5.977181e-01 1.160633e+02 1.890495e+02 1.576729e+02 1.560062e+01
6.044228e-01 1.132662e+02 1.844935e+02 1.538731e+02 1.522465e+01
6.111275e-01 1.105645e+02 1.800929e+02 1.502028e+02 1.486150e+01
6.178322e-01 1.079515e+02 1.758366e+02 1.466530e+02 1.451027e+01
6.245369e-01 1.054304e+02 1.717302e+02 1.432281e+02 1.417140e+01
6.312416e-01 1.029945e+02 1.677625e+02 1.399189e+02 1.384398e+01
6.379463e-01 1.006408e+02 1.639287e+02 1.367214e+02 1.352761e+01
6.446510e-01 9.836331e+01 1.602189e+02 1.336274e+02 1.322148e+01
6.513557e-01 9.615760e+01 1.566262e+02 1.306309e+02 1.292500e+01
6.580604e-01 9.401782e+01 1.531408e+02 1.277240e+02 1.263738e+01
6.647651e-01 9.193951e+01 1.497556e+02 1.249006e+02 1.235803e+01
6.714698e-01 8.992537e+01 1.464748e+02 1.221644e+02 1.208729e+01
6.781745e-01 8.797003e+01 1.432899e+02 1.195080e+02 1.182447e+01
6.848792e-01 8.607332e+01 1.402004e+02 1.169313e+02 1.156952e+01
6.915839e-01 8.423515e+01 1.372063e+02 1.144342e+02 1.132245e+01
6.982886e-01 8.245540e+01 1.343074e+02 1.120163e+02 1.108322e+01
7.049933e-01 8.072574e+01 1.314900e+02 1.096666e+02 1.085073e+01
7.116980e-01 7.904930e+01 1.287593e+02 1.073891e+02 1.062539e+01
7.184027e-01 7.742105e+01 1.261072e+02 1.051771e+02 1.040653e+01
7.251074e-01 7.583692e+01 1.235269e+02 1.030251e+02 1.019360e+01
7.318121e-01 7.429941e+01 1.210225e+02 1.009364e+02 9.986936e+00
7.385168e-01 7.279919e+01 1.185789e+02 9.889830e+01 9.785283e+00
7.452215e-01 7.134662e+01 1.162128e+02 9.692497e+01 9.590037e+00
7.519262e-01 6.993102e+01 1.139070e+02 9.500187e+01 9.399760e+00
7.586309e-01 6.855893e+01 1.116721e+02 9.313788e+01 9.215331e+00
7.653356e-01 6.722178e+01 1.094941e+02 9.132134e+01 9.035597e+00
7.720403e-01 6.591794e+01 1.073704e+02 8.955008e+01 8.860343e+00
7.787450e-01 6.465125e+01 1.053071e+02 8.782926e+01 8.690081e+00
7.854497e-01 6.341981e+01 1.033013e+02 8.615633e+01 8.524556e+00
7.921544e-01 6.221988e+01 1.013468e+02 8.452623e+01 8.363269e+00
7.988591e-01 6.105138e+01 9.944346e+01 8.293881e+01 8.206205e+00
8.055638e-01 5.991334e+01 9.758977e+01 8.139278e+01 8.053236e+00
8.122685e-01 5.880519e+01 9.578475e+01 7.988734e+01 7.904284e+00
8.189732e-01 5.772530e+01 9.402578e+01 7.842030e+01 7.759131e+00
8.256779e-01 5.667246e+01 9.231087e+01 7.699001e+01 7.617614e+00
8.323826e-01 5.564623e+01 9.063929e+01 7.559587e+01 7.479673e+00
8.390872e-01 5.464603e+01 8.901010e+01 7.423708e+01 7.345231e+00
8.457919e-01 5.367026e+01 8.742073e+01 7.291149e+01 7.214073e+00
8.524966e-01 5.271657e+01 8.586731e+01 7.161590e+01 7.085884e+00
8.592013e-01 5.178741e+01 8.435385e+01 7.035362e+01 6.960991e+00
8.659060e-01 5.088383e+01 8.288205e+01 6.912610e+01 6.839536e+00
8.726107e-01 5.000176e+01 8.144530e+01 6.792781e+01 6.720974e+00
8.793154e-01 4.913932e+01 8.004052e+01 6.675618e+01 6.605049e+00
8.860201e-01 4.829713e+01 7.866872e+01 6.561206e+01 6.491846e+00
8.927248e-01 4.747532e+01 7.733011e+01 6.449562e+01 6.381383e+00
8.994295e-01 4.667291e+01 7.602311e+01 6.340554e+01 6.273527e+00
9.061342e-01 4.588947e+01 7.474700e+01 6.234123e+01 6.168221e+00
9.128389e-01 4.512503e+01 7.350185e+01 6.130273e+01 6.065469e+00
9.195436e-01 4.437837e+01 7.228565e+01 6.028838e+01 5.965107e+00
9.262483e-01 4.364766e+01 7.109543e+01 5.929571e+01 5.866889e+00
9.329530e-01 4.293316e+01 6.993161e+01 5.832505e+01 5.770849e+00
9.396577e-01 4.223546e+01 6.879518e+01 5.737723e+01 5.677069e+00
9.463624e-01 4.155426e+01 6.768560e+01 5.645181e+01 5.585505e+00
9.530671e-01 4.088818e+01 6.660065e+01 5.554693e+01 5.495973e+00
9.597718e-01 4.023668e+01 6.553946e+01 5.466187e+01 5.408403e+00
9.664765e-01 3.959953e+01 6.450164e+01 5.379629e+01 5.322760e+00
9.731812e-01 3.897640e+01 6.348665e+01 5.294976e+01 5.239002e+00
9.798859e-01 3.836672e+01 6.249357e+01 5.212150e+01 5.157052e+00
9.865906e-01 3.776975e+01 6.152121e+01 5.131052e+01 5.076811e+00
9.932953e-01 3.718576e+01 6.056997e+01 5.051716e+01 4.998314e+00
